frequency,v1_0,v1_1,v1_2,v1_3,v1_4,v1_5,v1_6,v1_7,v1_8,v1_9,v1_10,v1_11,v1_12,v1_13,v1_14,v1_15,v1_16,v1_17,v1_18,v1_19,v1_20,v1_21,v1_22,v1_23,v1_24,v1_25,v1_26,v1_27,v1_28,v1_29,v1_30,v1_31,v2_0,v2_1,v2_2,v2_3,v2_4,v2_5,v2_6,v2_7,v2_8,v2_9,v2_10,v2_11,v2_12,v2_13,v2_14,v2_15,v2_16,v2_17,v2_18,v2_19,v2_20,v2_21,v2_22,v2_23,v2_24,v2_25,v2_26,v2_27,v2_28,v2_29,v2_30,v2_31,class
5957620,-108.245,-96.7538,-79.6023,-91.4874,-90.8786,-88.7184,-87.406,-86.1308,-86.2053,-86.1517,-85.8147,-86.3668,-85.5653,-86.6296,-86.0201,-85.8803,-86.9379,-89.1205,-90.241,-90.096,-89.6904,-91.3838,-88.3341,-86.9769,-86.4089,-85.5998,-85.3037,-85.1768,-85.8563,-89.0227,-92.1853,-106.626,17.1579,10.8075,17.4122,4.92404,5.73428,4.84649,5.14642,4.72609,4.67695,4.74152,4.78829,4.66211,4.76176,4.65896,4.60813,4.60883,5.26033,4.78527,4.68762,4.64684,4.64294,4.73894,5.89595,4.69529,4.70119,4.63217,4.5804,4.74495,5.30591,5.82927,12.6525,17.3947,ATSC
5932630,-109.199,-96.6609,-79.2278,-90.493,-89.9532,-89.1457,-88.0459,-86.4517,-86.947,-86.7122,-85.7611,-84.176,-83.4753,-86.7517,-85.7246,-86.0711,-86.2068,-88.9282,-89.6979,-90.8254,-89.8357,-91.8599,-88.7727,-86.1111,-85.4697,-86.1312,-84.7717,-85.1386,-84.2432,-86.7905,-91.4213,-106.128,12.9258,10.2061,17.212,4.62837,5.1123,5.08901,4.40519,4.05395,4.46014,5.20857,4.99957,3.59781,5.96027,2.56198,9.70618,3.35679,7.48254,2.91599,6.31906,6.67099,5.02625,5.48579,5.11344,7.94909,4.00729,3.80819,5.27287,4.75761,7.17287,3.1504,10.2466,19.4375,ATSC
5932630,-108.414,-96.3426,-78.7739,-91.0478,-89.9962,-88.0306,-86.6931,-85.3319,-85.4643,-85.4236,-84.9622,-85.6058,-84.6865,-85.8332,-85.4565,-85.4655,-86.0999,-88.4157,-89.5228,-89.2791,-89.3495,-90.7229,-87.9675,-86.549,-85.8855,-85.1403,-84.7597,-84.7262,-85.1623,-88.4026,-91.8191,-104.762,15.2079,11.0185,18.01,4.85491,5.61935,4.92052,4.99304,4.67185,4.66869,4.53146,4.74752,4.61446,4.88195,4.76185,4.61662,4.63593,5.11833,4.77418,4.74583,4.69928,4.65081,4.8916,5.81152,4.65113,4.758,4.69661,4.56036,4.65077,5.17813,5.4692,11.8328,17.2279,ATSC
5785180,-110.804,-93.5747,-77.1958,-89.2387,-93.7937,-89.7275,-90.2029,-85.6076,-84.9626,-84.3195,-84.8065,-84.1995,-84.9477,-82.6332,-86.1814,-85.9054,-89.4939,-94.6682,-94.9586,-88.8465,-86.6323,-87.3182,-86.2236,-84.1839,-86.3388,-87.7392,-87.2704,-88.4804,-92.3717,-97.1442,-100.093,-105.465,6.35297,16.7644,18.7974,8.93645,10.3931,5.87703,5.84496,4.77742,2.91869,4.22843,3.60954,6.88344,2.77216,5.36037,4.32796,4.96667,4.44843,9.20636,4.54243,11.2082,5.24104,5.27555,4.26008,6.58613,9.95349,4.88997,6.11108,4.16383,6.06945,5.75882,3.87936,10.0669,ATSC
5785180,-110.297,-94.4981,-77.4116,-90.0799,-92.9889,-90.7329,-88.8441,-85.7234,-84.4711,-84.2277,-83.2481,-84.7091,-84.6801,-83.9823,-86.328,-86.7216,-88.6136,-93.3115,-93.3706,-88.7803,-86.2912,-87.0557,-86.3009,-85.254,-87.8072,-87.3391,-87.7123,-89.0561,-91.1929,-97.2793,-98.5697,-106.077,5.90736,13.9792,19.7843,6.91521,9.85394,5.10034,5.58124,5.63839,4.79878,4.76797,4.66186,4.84422,4.67209,4.91132,4.76092,5.23758,6.64569,11.7657,8.71879,9.41861,4.85651,5.0455,4.96436,4.8518,6.62546,5.35786,4.78799,4.95372,7.23388,7.25186,6.73073,10.1293,ATSC
5785180,-110.282,-94.919,-76.6028,-89.8055,-91.9366,-90.4753,-89.2395,-84.7958,-85.081,-84.8963,-83.925,-84.3332,-83.5748,-82.7679,-87.1988,-86.9007,-88.0804,-93.4985,-92.2827,-88.096,-85.3883,-86.6494,-86.3142,-85.2486,-86.6501,-88.2304,-87.8031,-88.7305,-91.4427,-95.8104,-99.1583,-105.372,6.61004,13.6059,22.8612,6.6366,11.1687,5.32632,5.41518,7.61993,3.71121,3.34842,2.25629,3.50639,5.64334,4.93514,4.44608,5.18513,6.10849,13.6259,8.14516,10.1971,4.93418,4.74291,5.5391,4.83698,11.7497,3.91745,4.65667,6.15231,5.33799,8.50851,5.96468,10.1902,ATSC
5542780,-103.836,-90.4644,-79.3332,-88.3636,-88.2958,-88.5282,-89.0678,-89.3893,-89.7234,-89.8134,-89.8313,-89.2747,-88.4427,-88.423,-89.1415,-89.0777,-87.6224,-86.4726,-86.083,-85.9309,-86.0072,-85.5613,-85.439,-85.4274,-85.5308,-85.4581,-85.7277,-85.4331,-85.9216,-87.6189,-93.5662,-104.786,4.63945,15.2543,14.518,4.64666,4.66978,4.5999,4.66513,4.666,4.59883,4.66866,4.71507,4.82399,4.65038,4.72445,4.60415,4.61412,4.89723,4.71216,4.52426,4.45958,4.60715,4.60288,4.60403,4.61182,4.68555,4.56429,4.59202,4.65841,4.63462,6.86759,14.0009,4.78085,ATSC
5565270,-105.126,-91.6464,-78.2254,-88.153,-88.1577,-88.4157,-88.9722,-89.3963,-89.7714,-89.9079,-89.9831,-89.4885,-88.5931,-88.6654,-89.4556,-89.4172,-87.8973,-86.6736,-86.2406,-86.0913,-86.1963,-85.6969,-85.6103,-85.6178,-85.736,-85.6408,-85.9141,-85.6325,-86.0822,-87.6593,-93.6094,-105.442,4.64003,15.1969,15.4973,4.64597,4.60612,4.6047,4.71513,4.64997,4.65453,4.72837,4.76555,4.82665,4.6403,4.72968,4.5644,4.63156,4.90021,4.68248,4.58308,4.52424,4.58954,4.62455,4.53661,4.56738,4.6241,4.55543,4.67327,4.64274,4.59626,6.96438,14.5976,4.69204,ATSC
5565270,-107.073,-93.6345,-77.8852,-87.5167,-87.5719,-88.5515,-88.0845,-88.9809,-89.9825,-89.8842,-89.5684,-89.1022,-88.9518,-89.6302,-90.3616,-90.3172,-87.7767,-87.0639,-86.786,-85.7628,-87.1716,-85.745,-84.6231,-85.0431,-85.1836,-85.4527,-86.5948,-84.6585,-85.2583,-85.9596,-94.6368,-104.619,4.52054,17.4174,16.0215,4.67161,4.71237,4.59782,4.69514,4.61055,4.67862,4.71783,4.87374,4.87086,4.69293,4.73032,4.65065,4.63187,4.90248,4.67186,4.53908,4.50381,4.63461,4.69889,4.48801,4.53308,4.6326,4.51648,4.71558,4.6749,4.59362,7.06681,14.978,4.57227,ATSC
5420330,-103.699,-95.6668,-75.9291,-87.6216,-87.7215,-87.2998,-86.5818,-85.0417,-84.3746,-84.7595,-84.997,-85.853,-86.9,-87.3369,-88.0852,-87.5017,-88.1334,-88.0437,-87.6865,-86.6102,-87.3574,-88.6656,-89.763,-89.6533,-89.5048,-88.871,-88.2629,-88.6081,-88.5867,-90.2494,-95.6703,-97.2697,4.39584,10.8831,20.1733,4.95039,4.69557,4.23794,4.64196,5.64149,4.44682,4.39905,4.04703,4.68356,4.21973,4.56324,4.51876,4.77772,4.68094,4.75179,4.66869,4.96058,5.01858,5.28614,4.5715,4.7074,4.28988,4.80528,4.6905,4.38499,4.62804,6.65224,6.09102,8.10034,ATSC
